noisy_path,clean_path,noise_type,bucket,snr_db,split
data/processed/train/8297-275155-0032__2-50668-B-41__5db__noisy.wav,data/processed/train/8297-275155-0032__2-50668-B-41__5db__clean.wav,2-50668-B-41,stationary,5,train
data/processed/train/777-126732-0061__3-135650-A-45__5db__noisy.wav,data/processed/train/777-126732-0061__3-135650-A-45__5db__clean.wav,3-135650-A-45,stationary,5,train
data/processed/train/2078-142845-0032__3-58772-A-42__neg5db__noisy.wav,data/processed/train/2078-142845-0032__3-58772-A-42__neg5db__clean.wav,3-58772-A-42,stationary,-5,train
data/processed/train/3081-166546-0000__3-68630-A-40__5db__noisy.wav,data/processed/train/3081-166546-0000__3-68630-A-40__5db__clean.wav,3-68630-A-40,stationary,5,train
data/processed/train/7850-73752-0016__4-161579-B-40__neg5db__noisy.wav,data/processed/train/7850-73752-0016__4-161579-B-40__neg5db__clean.wav,4-161579-B-40,stationary,-5,train
data/processed/train/1462-170145-0001__4-161099-A-47__0db__noisy.wav,data/processed/train/1462-170145-0001__4-161099-A-47__0db__clean.wav,4-161099-A-47,stationary,0,train
data/processed/train/3536-23268-0002__3-128512-B-47__5db__noisy.wav,data/processed/train/3536-23268-0002__3-128512-B-47__5db__clean.wav,3-128512-B-47,stationary,5,train
data/processed/train/3536-23268-0009__4-161579-B-40__0db__noisy.wav,data/processed/train/3536-23268-0009__4-161579-B-40__0db__clean.wav,4-161579-B-40,stationary,0,train
data/processed/train/7850-281318-0011__3-118972-B-41__0db__noisy.wav,data/processed/train/7850-281318-0011__3-118972-B-41__0db__clean.wav,3-118972-B-41,stationary,0,train
data/processed/train/1462-170142-0007__3-128160-A-44__10db__noisy.wav,data/processed/train/1462-170142-0007__3-128160-A-44__10db__clean.wav,3-128160-A-44,stationary,10,train
data/processed/train/7850-281318-0016__2-77945-B-41__5db__noisy.wav,data/processed/train/7850-281318-0016__2-77945-B-41__5db__clean.wav,2-77945-B-41,stationary,5,train
data/processed/train/2035-147961-0003__2-78799-A-47__5db__noisy.wav,data/processed/train/2035-147961-0003__2-78799-A-47__5db__clean.wav,2-78799-A-47,stationary,5,train
data/processed/train/777-126732-0049__2-98866-A-47__10db__noisy.wav,data/processed/train/777-126732-0049__2-98866-A-47__10db__clean.wav,2-98866-A-47,stationary,10,train
data/processed/train/6295-244435-0021__2-74361-A-47__neg5db__noisy.wav,data/processed/train/6295-244435-0021__2-74361-A-47__neg5db__clean.wav,2-74361-A-47,stationary,-5,train
data/processed/train/2803-161169-0015__2-262579-A-45__0db__noisy.wav,data/processed/train/2803-161169-0015__2-262579-A-45__0db__clean.wav,2-262579-A-45,stationary,0,train
data/processed/train/8842-302201-0000__4-193480-A-40__0db__noisy.wav,data/processed/train/8842-302201-0000__4-193480-A-40__0db__clean.wav,4-193480-A-40,stationary,0,train
data/processed/train/2428-83699-0027__1-43807-A-47__10db__noisy.wav,data/processed/train/2428-83699-0027__1-43807-A-47__10db__clean.wav,1-43807-A-47,stationary,10,train
data/processed/train/5694-64029-0007__2-160888-A-47__10db__noisy.wav,data/processed/train/5694-64029-0007__2-160888-A-47__10db__clean.wav,2-160888-A-47,stationary,10,train
data/processed/train/5694-64029-0021__2-70936-A-42__5db__noisy.wav,data/processed/train/5694-64029-0021__2-70936-A-42__5db__clean.wav,2-70936-A-42,stationary,5,train
data/processed/train/8297-275154-0001__3-128512-B-47__neg5db__noisy.wav,data/processed/train/8297-275154-0001__3-128512-B-47__neg5db__clean.wav,3-128512-B-47,stationary,-5,train
data/processed/train/1673-143396-0008__4-193480-B-40__10db__noisy.wav,data/processed/train/1673-143396-0008__4-193480-B-40__10db__clean.wav,4-193480-B-40,stationary,10,train
data/processed/train/1993-147149-0020__3-118972-A-41__0db__noisy.wav,data/processed/train/1993-147149-0020__3-118972-A-41__0db__clean.wav,3-118972-A-41,stationary,0,train
data/processed/train/5895-34622-0000__3-150979-B-40__0db__noisy.wav,data/processed/train/5895-34622-0000__3-150979-B-40__0db__clean.wav,3-150979-B-40,stationary,0,train
data/processed/train/1272-141231-0011__1-54065-B-45__neg5db__noisy.wav,data/processed/train/1272-141231-0011__1-54065-B-45__neg5db__clean.wav,1-54065-B-45,stationary,-5,train
data/processed/train/3853-163249-0043__5-160614-H-48__0db__noisy.wav,data/processed/train/3853-163249-0043__5-160614-H-48__0db__clean.wav,5-160614-H-48,impulsive,0,train
data/processed/train/3576-138058-0032__3-146186-A-44__10db__noisy.wav,data/processed/train/3576-138058-0032__3-146186-A-44__10db__clean.wav,3-146186-A-44,stationary,10,train
data/processed/train/1988-24833-0009__5-160614-G-48__5db__noisy.wav,data/processed/train/1988-24833-0009__5-160614-G-48__5db__clean.wav,5-160614-G-48,impulsive,5,train
data/processed/train/3170-137482-0027__2-37806-C-40__5db__noisy.wav,data/processed/train/3170-137482-0027__2-37806-C-40__5db__clean.wav,2-37806-C-40,stationary,5,train
data/processed/train/2035-147961-0033__2-50668-B-41__0db__noisy.wav,data/processed/train/2035-147961-0033__2-50668-B-41__0db__clean.wav,2-50668-B-41,stationary,0,train
data/processed/train/1988-147956-0019__3-118656-A-41__neg5db__noisy.wav,data/processed/train/1988-147956-0019__3-118656-A-41__neg5db__clean.wav,3-118656-A-41,stationary,-5,train
data/processed/train/1462-170145-0011__1-160563-B-48__0db__noisy.wav,data/processed/train/1462-170145-0011__1-160563-B-48__0db__clean.wav,1-160563-B-48,impulsive,0,train
data/processed/train/3576-138058-0023__4-165606-A-45__neg5db__noisy.wav,data/processed/train/3576-138058-0023__4-165606-A-45__neg5db__clean.wav,4-165606-A-45,stationary,-5,train
data/processed/train/777-126732-0012__3-118657-A-41__10db__noisy.wav,data/processed/train/777-126732-0012__3-118657-A-41__10db__clean.wav,3-118657-A-41,stationary,10,train
data/processed/train/3170-137482-0033__5-177957-D-40__0db__noisy.wav,data/processed/train/3170-137482-0033__5-177957-D-40__0db__clean.wav,5-177957-D-40,stationary,0,train
data/processed/train/251-136532-0004__5-117122-A-42__0db__noisy.wav,data/processed/train/251-136532-0004__5-117122-A-42__0db__clean.wav,5-117122-A-42,stationary,0,train
data/processed/train/777-126732-0063__3-115387-C-47__10db__noisy.wav,data/processed/train/777-126732-0063__3-115387-C-47__10db__clean.wav,3-115387-C-47,stationary,10,train
data/processed/train/7850-73752-0007__5-133989-B-42__10db__noisy.wav,data/processed/train/7850-73752-0007__5-133989-B-42__10db__clean.wav,5-133989-B-42,stationary,10,train
data/processed/train/1462-170145-0012__5-133989-A-42__5db__noisy.wav,data/processed/train/1462-170145-0012__5-133989-A-42__5db__clean.wav,5-133989-A-42,stationary,5,train
data/processed/train/3000-15664-0030__1 (2)__10db__noisy.wav,data/processed/train/3000-15664-0030__1 (2)__10db__clean.wav,1 (2),impulsive,10,train
data/processed/train/6319-64726-0015__5-243773-A-44__neg5db__noisy.wav,data/processed/train/6319-64726-0015__5-243773-A-44__neg5db__clean.wav,5-243773-A-44,stationary,-5,train
data/processed/train/3853-163249-0018__3-150979-A-40__10db__noisy.wav,data/processed/train/3853-163249-0018__3-150979-A-40__10db__clean.wav,3-150979-A-40,stationary,10,train
data/processed/train/6295-244435-0033__2-117615-A-48__neg5db__noisy.wav,data/processed/train/6295-244435-0033__2-117615-A-48__neg5db__clean.wav,2-117615-A-48,impulsive,-5,train
data/processed/train/5694-64038-0025__4-102871-A-42__5db__noisy.wav,data/processed/train/5694-64038-0025__4-102871-A-42__5db__clean.wav,4-102871-A-42,stationary,5,train
data/processed/train/8842-304647-0003__6__0db__noisy.wav,data/processed/train/8842-304647-0003__6__0db__clean.wav,6,impulsive,0,train
data/processed/train/8842-302196-0006__1-43807-B-47__neg5db__noisy.wav,data/processed/train/8842-302196-0006__1-43807-B-47__neg5db__clean.wav,1-43807-B-47,stationary,-5,train
data/processed/train/8297-275155-0026__1-160563-B-48__neg5db__noisy.wav,data/processed/train/8297-275155-0026__1-160563-B-48__neg5db__clean.wav,1-160563-B-48,impulsive,-5,train
data/processed/train/2428-83705-0032__1-36929-A-47__10db__noisy.wav,data/processed/train/2428-83705-0032__1-36929-A-47__10db__clean.wav,1-36929-A-47,stationary,10,train
data/processed/train/3081-166546-0028__2-77945-B-41__10db__noisy.wav,data/processed/train/3081-166546-0028__2-77945-B-41__10db__clean.wav,2-77945-B-41,stationary,10,train
data/processed/train/6295-64301-0024__3-119455-A-44__10db__noisy.wav,data/processed/train/6295-64301-0024__3-119455-A-44__10db__clean.wav,3-119455-A-44,stationary,10,train
data/processed/train/652-130737-0009__2-43806-A-42__0db__noisy.wav,data/processed/train/652-130737-0009__2-43806-A-42__0db__clean.wav,2-43806-A-42,stationary,0,train
data/processed/train/2902-9008-0001__5-160614-A-48__5db__noisy.wav,data/processed/train/2902-9008-0001__5-160614-A-48__5db__clean.wav,5-160614-A-48,impulsive,5,train
data/processed/train/6319-64726-0009__4-193480-B-40__0db__noisy.wav,data/processed/train/6319-64726-0009__4-193480-B-40__0db__clean.wav,4-193480-B-40,stationary,0,train
data/processed/train/777-126732-0047__3-150979-B-40__neg5db__noisy.wav,data/processed/train/777-126732-0047__3-150979-B-40__neg5db__clean.wav,3-150979-B-40,stationary,-5,train
data/processed/train/3000-15664-0028__1-62509-A-45__neg5db__noisy.wav,data/processed/train/3000-15664-0028__1-62509-A-45__neg5db__clean.wav,1-62509-A-45,stationary,-5,train
data/processed/train/2035-147961-0016__5-232272-A-44__neg5db__noisy.wav,data/processed/train/2035-147961-0016__5-232272-A-44__neg5db__clean.wav,5-232272-A-44,stationary,-5,train
data/processed/train/1462-170138-0026__5-185579-B-41__0db__noisy.wav,data/processed/train/1462-170138-0026__5-185579-B-41__0db__clean.wav,5-185579-B-41,stationary,0,train
data/processed/train/1993-147149-0023__4-119647-D-48__10db__noisy.wav,data/processed/train/1993-147149-0023__4-119647-D-48__10db__clean.wav,4-119647-D-48,impulsive,10,train
data/processed/train/3081-166546-0066__3-251617-A-48__0db__noisy.wav,data/processed/train/3081-166546-0066__3-251617-A-48__0db__clean.wav,3-251617-A-48,impulsive,0,train
data/processed/train/1462-170138-0008__3-51731-A-42__5db__noisy.wav,data/processed/train/1462-170138-0008__3-51731-A-42__5db__clean.wav,3-51731-A-42,stationary,5,train
data/processed/train/251-136532-0011__3-119120-C-48__5db__noisy.wav,data/processed/train/251-136532-0011__3-119120-C-48__5db__clean.wav,3-119120-C-48,impulsive,5,train
data/processed/train/8297-275155-0006__0__5db__noisy.wav,data/processed/train/8297-275155-0006__0__5db__clean.wav,0,stationary,5,train
data/processed/train/2803-154328-0013__1-50454-A-44__5db__noisy.wav,data/processed/train/2803-154328-0013__1-50454-A-44__5db__clean.wav,1-50454-A-44,stationary,5,train
data/processed/train/7850-73752-0008__2-78799-A-47__5db__noisy.wav,data/processed/train/7850-73752-0008__2-78799-A-47__5db__clean.wav,2-78799-A-47,stationary,5,train
data/processed/train/777-126732-0071__5-199284-B-45__5db__noisy.wav,data/processed/train/777-126732-0071__5-199284-B-45__5db__clean.wav,5-199284-B-45,stationary,5,train
data/processed/train/1673-143397-0009__3-118656-A-41__5db__noisy.wav,data/processed/train/1673-143397-0009__3-118656-A-41__5db__clean.wav,3-118656-A-41,stationary,5,train
data/processed/train/3000-15664-0032__4-161100-A-47__neg5db__noisy.wav,data/processed/train/3000-15664-0032__4-161100-A-47__neg5db__clean.wav,4-161100-A-47,stationary,-5,train
data/processed/train/1988-24833-0019__3-150979-A-40__5db__noisy.wav,data/processed/train/1988-24833-0019__3-150979-A-40__5db__clean.wav,3-150979-A-40,stationary,5,train
data/processed/train/5895-34622-0004__4-161105-B-47__5db__noisy.wav,data/processed/train/5895-34622-0004__4-161105-B-47__5db__clean.wav,4-161105-B-47,stationary,5,train
data/processed/train/7850-111771-0005__0__10db__noisy.wav,data/processed/train/7850-111771-0005__0__10db__clean.wav,0,stationary,10,train
data/processed/train/3576-138058-0023__1-76831-D-42__10db__noisy.wav,data/processed/train/3576-138058-0023__1-76831-D-42__10db__clean.wav,1-76831-D-42,stationary,10,train
data/processed/train/84-121123-0011__4-168446-A-45__0db__noisy.wav,data/processed/train/84-121123-0011__4-168446-A-45__0db__clean.wav,4-168446-A-45,stationary,0,train
data/processed/train/1462-170145-0009__1-50455-A-44__0db__noisy.wav,data/processed/train/1462-170145-0009__1-50455-A-44__0db__clean.wav,1-50455-A-44,stationary,0,train
data/processed/train/8297-275155-0028__2-50668-B-41__5db__noisy.wav,data/processed/train/8297-275155-0028__2-50668-B-41__5db__clean.wav,2-50668-B-41,stationary,5,train
data/processed/train/6319-275224-0012__2-98866-A-47__10db__noisy.wav,data/processed/train/6319-275224-0012__2-98866-A-47__10db__clean.wav,2-98866-A-47,stationary,10,train
data/processed/train/84-121550-0035__3-115387-B-47__neg5db__noisy.wav,data/processed/train/84-121550-0035__3-115387-B-47__neg5db__clean.wav,3-115387-B-47,stationary,-5,train
data/processed/train/422-122949-0004__1-43807-B-47__0db__noisy.wav,data/processed/train/422-122949-0004__1-43807-B-47__0db__clean.wav,1-43807-B-47,stationary,0,train
data/processed/train/1462-170142-0020__4-165845-A-45__neg5db__noisy.wav,data/processed/train/1462-170142-0020__4-165845-A-45__neg5db__clean.wav,4-165845-A-45,stationary,-5,train
data/processed/train/84-121123-0016__5-198600-A-45__5db__noisy.wav,data/processed/train/84-121123-0016__5-198600-A-45__5db__clean.wav,5-198600-A-45,stationary,5,train
data/processed/train/2803-154328-0023__1-62509-A-45__neg5db__noisy.wav,data/processed/train/2803-154328-0023__1-62509-A-45__neg5db__clean.wav,1-62509-A-45,stationary,-5,train
data/processed/train/3853-163249-0028__4-149294-B-41__5db__noisy.wav,data/processed/train/3853-163249-0028__4-149294-B-41__5db__clean.wav,4-149294-B-41,stationary,5,train
data/processed/train/422-122949-0006__1-76831-C-42__0db__noisy.wav,data/processed/train/422-122949-0006__1-76831-C-42__0db__clean.wav,1-76831-C-42,stationary,0,train
data/processed/train/6319-64726-0015__5-251971-A-47__5db__noisy.wav,data/processed/train/6319-64726-0015__5-251971-A-47__5db__clean.wav,5-251971-A-47,stationary,5,train
data/processed/train/7850-281318-0012__4-119647-C-48__neg5db__noisy.wav,data/processed/train/7850-281318-0012__4-119647-C-48__neg5db__clean.wav,4-119647-C-48,impulsive,-5,train
data/processed/train/8842-304647-0000__5-251971-A-47__neg5db__noisy.wav,data/processed/train/8842-304647-0000__5-251971-A-47__neg5db__clean.wav,5-251971-A-47,stationary,-5,train
data/processed/train/3170-137482-0001__2-70938-A-42__0db__noisy.wav,data/processed/train/3170-137482-0001__2-70938-A-42__0db__clean.wav,2-70938-A-42,stationary,0,train
data/processed/train/2803-161169-0010__5-215445-A-47__0db__noisy.wav,data/processed/train/2803-161169-0010__5-215445-A-47__0db__clean.wav,5-215445-A-47,stationary,0,train
data/processed/train/5895-34629-0027__3-62878-B-42__neg5db__noisy.wav,data/processed/train/5895-34629-0027__3-62878-B-42__neg5db__clean.wav,3-62878-B-42,stationary,-5,train
data/processed/train/3853-163249-0033__4-186935-A-44__5db__noisy.wav,data/processed/train/3853-163249-0033__4-186935-A-44__5db__clean.wav,4-186935-A-44,stationary,5,train
data/processed/train/2078-142845-0004__10__0db__noisy.wav,data/processed/train/2078-142845-0004__10__0db__clean.wav,10,impulsive,0,train
data/processed/train/3170-137482-0023__4-119647-C-48__5db__noisy.wav,data/processed/train/3170-137482-0023__4-119647-C-48__5db__clean.wav,4-119647-C-48,impulsive,5,train
data/processed/train/8842-302201-0012__3-119120-C-48__10db__noisy.wav,data/processed/train/8842-302201-0012__3-119120-C-48__10db__clean.wav,3-119120-C-48,impulsive,10,train
data/processed/train/251-137823-0014__1-50454-A-44__5db__noisy.wav,data/processed/train/251-137823-0014__1-50454-A-44__5db__clean.wav,1-50454-A-44,stationary,5,train
data/processed/train/6295-244435-0022__1-36929-A-47__10db__noisy.wav,data/processed/train/6295-244435-0022__1-36929-A-47__10db__clean.wav,1-36929-A-47,stationary,10,train
data/processed/train/1462-170138-0015__1-43807-A-47__5db__noisy.wav,data/processed/train/1462-170138-0015__1-43807-A-47__5db__clean.wav,1-43807-A-47,stationary,5,train
data/processed/train/652-129742-0009__4-90014-A-42__10db__noisy.wav,data/processed/train/652-129742-0009__4-90014-A-42__10db__clean.wav,4-90014-A-42,stationary,10,train
data/processed/train/2428-83699-0033__3-128160-A-44__5db__noisy.wav,data/processed/train/2428-83699-0033__3-128160-A-44__5db__clean.wav,3-128160-A-44,stationary,5,train
data/processed/train/3576-138058-0014__4-149294-B-41__0db__noisy.wav,data/processed/train/3576-138058-0014__4-149294-B-41__0db__clean.wav,4-149294-B-41,stationary,0,train
data/processed/train/2902-9008-0005__2-37806-C-40__0db__noisy.wav,data/processed/train/2902-9008-0005__2-37806-C-40__0db__clean.wav,2-37806-C-40,stationary,0,train
data/processed/train/2035-152373-0008__4-193480-B-40__5db__noisy.wav,data/processed/train/2035-152373-0008__4-193480-B-40__5db__clean.wav,4-193480-B-40,stationary,5,train
data/processed/train/251-137823-0010__2-77945-B-41__neg5db__noisy.wav,data/processed/train/251-137823-0010__2-77945-B-41__neg5db__clean.wav,2-77945-B-41,stationary,-5,train
data/processed/train/84-121123-0028__4-255371-A-47__0db__noisy.wav,data/processed/train/84-121123-0028__4-255371-A-47__0db__clean.wav,4-255371-A-47,stationary,0,train
data/processed/train/2078-142845-0016__1-54065-B-45__5db__noisy.wav,data/processed/train/2078-142845-0016__1-54065-B-45__5db__clean.wav,1-54065-B-45,stationary,5,train
data/processed/train/777-126732-0039__4-165823-A-41__10db__noisy.wav,data/processed/train/777-126732-0039__4-165823-A-41__10db__clean.wav,4-165823-A-41,stationary,10,train
data/processed/train/84-121550-0028__1-88409-A-45__neg5db__noisy.wav,data/processed/train/84-121550-0028__1-88409-A-45__neg5db__clean.wav,1-88409-A-45,stationary,-5,train
data/processed/train/7850-73752-0018__3-115387-B-47__5db__noisy.wav,data/processed/train/7850-73752-0018__3-115387-B-47__5db__clean.wav,3-115387-B-47,stationary,5,train
data/processed/train/2078-142845-0033__5-216370-B-41__10db__noisy.wav,data/processed/train/2078-142845-0033__5-216370-B-41__10db__clean.wav,5-216370-B-41,stationary,10,train
data/processed/train/652-130737-0010__3-141559-A-45__10db__noisy.wav,data/processed/train/652-130737-0010__3-141559-A-45__10db__clean.wav,3-141559-A-45,stationary,10,train
data/processed/train/3081-166546-0036__1-43807-A-47__5db__noisy.wav,data/processed/train/3081-166546-0036__1-43807-A-47__5db__clean.wav,1-43807-A-47,stationary,5,train
data/processed/train/2078-142845-0001__3-62878-B-42__10db__noisy.wav,data/processed/train/2078-142845-0001__3-62878-B-42__10db__clean.wav,3-62878-B-42,stationary,10,train
data/processed/train/422-122949-0011__1-119125-A-45__10db__noisy.wav,data/processed/train/422-122949-0011__1-119125-A-45__10db__clean.wav,1-119125-A-45,stationary,10,train
data/processed/train/1272-141231-0000__2-117615-D-48__0db__noisy.wav,data/processed/train/1272-141231-0000__2-117615-D-48__0db__clean.wav,2-117615-D-48,impulsive,0,train
data/processed/train/1462-170145-0018__5-160614-A-48__5db__noisy.wav,data/processed/train/1462-170145-0018__5-160614-A-48__5db__clean.wav,5-160614-A-48,impulsive,5,train
data/processed/train/6319-275224-0000__5-215449-A-47__10db__noisy.wav,data/processed/train/6319-275224-0000__5-215449-A-47__10db__clean.wav,5-215449-A-47,stationary,10,train
data/processed/train/5895-34622-0004__4-90014-A-42__neg5db__noisy.wav,data/processed/train/5895-34622-0004__4-90014-A-42__neg5db__clean.wav,4-90014-A-42,stationary,-5,train
data/processed/train/3081-166546-0039__5-220955-A-40__0db__noisy.wav,data/processed/train/3081-166546-0039__5-220955-A-40__0db__clean.wav,5-220955-A-40,stationary,0,train
data/processed/train/777-126732-0032__2-106015-A-44__5db__noisy.wav,data/processed/train/777-126732-0032__2-106015-A-44__5db__clean.wav,2-106015-A-44,stationary,5,train
data/processed/train/1988-147956-0026__2-43802-A-42__neg5db__noisy.wav,data/processed/train/1988-147956-0026__2-43802-A-42__neg5db__clean.wav,2-43802-A-42,stationary,-5,train
data/processed/train/1673-143396-0019__1-115545-A-48__5db__noisy.wav,data/processed/train/1673-143396-0019__1-115545-A-48__5db__clean.wav,1-115545-A-48,impulsive,5,train
data/processed/train/5895-34622-0023__5-184323-A-42__10db__noisy.wav,data/processed/train/5895-34622-0023__5-184323-A-42__10db__clean.wav,5-184323-A-42,stationary,10,train
data/processed/train/777-126732-0069__2-106014-A-44__5db__noisy.wav,data/processed/train/777-126732-0069__2-106014-A-44__5db__clean.wav,2-106014-A-44,stationary,5,train
data/processed/train/3536-8226-0025__2-77945-B-41__5db__noisy.wav,data/processed/train/3536-8226-0025__2-77945-B-41__5db__clean.wav,2-77945-B-41,stationary,5,train
data/processed/train/7850-286674-0017__1-172649-C-40__0db__noisy.wav,data/processed/train/7850-286674-0017__1-172649-C-40__0db__clean.wav,1-172649-C-40,stationary,0,train
data/processed/train/652-129742-0002__3-159445-A-45__neg5db__noisy.wav,data/processed/train/652-129742-0002__3-159445-A-45__neg5db__clean.wav,3-159445-A-45,stationary,-5,train
data/processed/train/1462-170142-0042__4-80761-A-42__0db__noisy.wav,data/processed/train/1462-170142-0042__4-80761-A-42__0db__clean.wav,4-80761-A-42,stationary,0,train
data/processed/train/3853-163249-0043__2-106014-A-44__5db__noisy.wav,data/processed/train/3853-163249-0043__2-106014-A-44__5db__clean.wav,2-106014-A-44,stationary,5,train
data/processed/train/652-130726-0025__2-96654-A-47__0db__noisy.wav,data/processed/train/652-130726-0025__2-96654-A-47__0db__clean.wav,2-96654-A-47,stationary,0,train
data/processed/train/3081-166546-0050__4-161099-A-47__neg5db__noisy.wav,data/processed/train/3081-166546-0050__4-161099-A-47__neg5db__clean.wav,4-161099-A-47,stationary,-5,train
data/processed/train/2078-142845-0003__1-31482-A-42__10db__noisy.wav,data/processed/train/2078-142845-0003__1-31482-A-42__10db__clean.wav,1-31482-A-42,stationary,10,train
data/processed/train/3853-163249-0029__5-235507-A-44__neg5db__noisy.wav,data/processed/train/3853-163249-0029__5-235507-A-44__neg5db__clean.wav,5-235507-A-44,stationary,-5,train
data/processed/train/1993-147964-0004__1-172649-D-40__neg5db__noisy.wav,data/processed/train/1993-147964-0004__1-172649-D-40__neg5db__clean.wav,1-172649-D-40,stationary,-5,train
data/processed/train/1993-147965-0004__2-117615-E-48__0db__noisy.wav,data/processed/train/1993-147965-0004__2-117615-E-48__0db__clean.wav,2-117615-E-48,impulsive,0,train
data/processed/train/7850-111771-0004__3-141240-A-44__10db__noisy.wav,data/processed/train/7850-111771-0004__3-141240-A-44__10db__clean.wav,3-141240-A-44,stationary,10,train
data/processed/train/3170-137482-0042__5-185579-B-41__5db__noisy.wav,data/processed/train/3170-137482-0042__5-185579-B-41__5db__clean.wav,5-185579-B-41,stationary,5,train
data/processed/train/1993-147966-0000__1-19898-B-41__0db__noisy.wav,data/processed/train/1993-147966-0000__1-19898-B-41__0db__clean.wav,1-19898-B-41,stationary,0,train
data/processed/train/7850-281318-0012__4-168446-A-45__neg5db__noisy.wav,data/processed/train/7850-281318-0012__4-168446-A-45__neg5db__clean.wav,4-168446-A-45,stationary,-5,train
data/processed/train/8297-275155-0011__5-191131-A-40__10db__noisy.wav,data/processed/train/8297-275155-0011__5-191131-A-40__10db__clean.wav,5-191131-A-40,stationary,10,train
data/processed/train/777-126732-0010__3-150979-A-40__neg5db__noisy.wav,data/processed/train/777-126732-0010__3-150979-A-40__neg5db__clean.wav,3-150979-A-40,stationary,-5,train
data/processed/train/2035-147960-0003__5-171653-A-41__neg5db__noisy.wav,data/processed/train/2035-147960-0003__5-171653-A-41__neg5db__clean.wav,5-171653-A-41,stationary,-5,train
